timestamp,event_type,function_name,policy_name,node_name,namespace,pod,workload,workload_kind,container,image,binary,arguments,pid,uid,cwd,src_ip,src_port,dst_ip,dst_port,protocol,tcp_state,bytes,file_path,label,scenario
2026-05-18T19:08:52.381211913Z,process_exec,,,ubuntu-vm,attack-lab,suspicious-toolbox,suspicious-toolbox,Pod,toolbox,docker.io/library/alpine:3.20,/proc/self/fd/6,init,639890,0,/run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/4074d4ee90a1c49e3910e019dcbeef4884621b22940b0e6bcb866d4a21830bdc/rootfs,,,,,,,,,malicious,ransomware-like-file-copy-lock
2026-05-18T19:08:52.415606233Z,process_exit,,,ubuntu-vm,attack-lab,suspicious-toolbox,suspicious-toolbox,Pod,toolbox,docker.io/library/alpine:3.20,/proc/self/fd/6,init,639890,0,/run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/4074d4ee90a1c49e3910e019dcbeef4884621b22940b0e6bcb866d4a21830bdc/rootfs,,,,,,,,,malicious,ransomware-like-file-copy-lock
2026-05-18T19:08:54.277726940Z,process_exec,,,ubuntu-vm,attack-lab,suspicious-toolbox,suspicious-toolbox,Pod,toolbox,docker.io/library/alpine:3.20,/bin/sh,"-c ""rm -rf /victims && mkdir -p /victims && for i in $(seq 1 20); do echo test > /victims/file-$i.txt; cp /victims/file-$i.txt /victims/file-$i.locked; done""",639892,0,/,,,,,,,,,malicious,ransomware-like-file-copy-lock
2026-05-18T19:08:54.299290049Z,process_exec,,,ubuntu-vm,attack-lab,suspicious-toolbox,suspicious-toolbox,Pod,toolbox,docker.io/library/alpine:3.20,/bin/rm,-rf /victims,640062,0,/,,,,,,,,,malicious,ransomware-like-file-copy-lock
2026-05-18T19:08:54.313764667Z,process_exit,,,ubuntu-vm,attack-lab,suspicious-toolbox,suspicious-toolbox,Pod,toolbox,docker.io/library/alpine:3.20,/bin/rm,-rf /victims,640062,0,/,,,,,,,,,malicious,ransomware-like-file-copy-lock
2026-05-18T19:08:54.315332983Z,process_exit,,,ubuntu-vm,attack-lab,suspicious-toolbox,suspicious-toolbox,Pod,toolbox,docker.io/library/alpine:3.20,/bin/sh,"-c ""rm -rf /victims && mkdir -p /victims && for i in $(seq 1 20); do echo test > /victims/file-$i.txt; cp /victims/file-$i.txt /victims/file-$i.locked; done""",639892,0,/,,,,,,,,,malicious,ransomware-like-file-copy-lock
